title,year,certificate,runtime,genre,desc,rating,votes
Freddy,2022,UA 16+,124 min,"Drama, Mystery, Thriller            ",The lines between love and obsession blur in this romantic thriller packed with unpredictable twists and sharp turns.,7.9,"16,441"
An Action Hero,2022,U,130 min,Action            ,"Youth Icon. Superstar. Action Hero. At the age of just 30, Maanav was at the peak of his career when he got caught up in an accident while filming in Haryana. Maanav, who was once a household name, is now living in hiding.",8.1,"15,690"
Kantara,2022,UA,148 min,"Action, Adventure, Drama            ",It involves culture of Kambala and Bhootha Kola. A human and nature conflict where Shiva is a rebel who defends his village and nature. A death leads to war between villagers and evil forces. Will he be able to regain peace in the village?,8.7,"78,358"
Khakee: The Bihar Chapter,2022–,UA 13+,45 min,"Action, Crime, Drama            ","As a righteous cop pursues a merciless criminal in Bihar, he finds himself navigating a deadly chase and a moral battle mired in corruption.",8.3,"4,464"
Drishyam 2,2022,UA,140 min,"Crime, Drama, Mystery            ",A gripping tale of an investigation and a family which is threatened by it. Will Vijay Salgaonkar be able to protect his family this time?,8.6,"18,743"
Qala,2022,UA 16+,119 min,"Drama, History, Music            ","Haunted by her past, a talented singer with a rising career copes with the pressure of success, a mother's disdain and the voices of doubt within her.",7.2,"1,903"
Bhediya,2022,UA,156 min,"Comedy, Horror, Thriller            ","Set in the forests of Arunachal, Bhediya is a story of Bhaskar, a man who gets bitten by a wolf, and begins to transform into the creature. As Bhaskar and his buddies try to find answers, a bunch of twists, turns, and laughs ensue.",7.7,"12,771"
Goodbye,I 2022,U,130 min,"Comedy, Drama, Family            ",A heartwarming story of the Bhalla family that depicts their journey of grief and self-discovery after they suffer the loss of their loved one.,7.3,"6,977"
RRR (Rise Roar Revolt),2022,UA,187 min,"Action, Drama            ",A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in the 1920s.,8.0,"117,876"
India Lockdown,2022,UA,117 min,Drama            ,"Inspired by true events, 'India Lockdown' depicts four parallel stories and the repercussions of the Covid-19 pandemic on the people of India.",8.7,"5,859"
Cat,2022–,18,null,"Crime, Drama, Thriller            ","A former police informant is forced to become an informant again to save the life of his brother, which forces him to come to terms with his dark past.",9.3,"3,464"
Office Christmas Party,2016,R,105 min,Comedy            ,"When his uptight CEO sister threatens to shut down his branch, the branch manager throws an epic Christmas party in order to land a big client and save the day, but the party gets way out of hand...",5.9,"81,245"
Chup,2022,A,135 min,"Drama, Romance, Thriller            ","A psychopath killer, targeting film critics. The film is a fast-paced thriller that raises many questions of the ethics of criticism.",7.9,"18,122"
Dharavi Bank,2022–,UA 16+,null,"Crime, Drama, Thriller            ","A 30,000 Crore crime nexus is being ruled by the unattainable Thalaivan right in the heart of Mumbai, in Dharavi. JCP Jayant Gavaskar is on a mission to bring down Thalaivan and his adversaries, at any cost.",8.8,"3,969"
Vadhandhi: The Fable of Velonie,2022–,A,null,"Crime, Drama, Mystery            ","The murder of a beautiful young girl, seen from the Rashomon-esque perspectives of an unrelenting obsessed cop, a novelist captivated by her grace and an opportunistic news editor.",8.5,"2,157"
Sita Ramam,2022,U,163 min,"Action, Drama, Mystery            ","An orphan soldier, Lieutenant Ram's life changes, after he gets a letter from a girl named Sita. He meets her and love blossoms between them. When he comes back to his camp in Kashmir,After he gets caught in jail, he sends a letter to Sita which won't reach her.",8.6,"48,954"
Brahmastra Part One: Shiva,2022,UA,167 min,"Action, Adventure, Fantasy            ","This is the story of Shiva who sets out in search of love and self-discovery. During his journey, he has to face many evil forces that threaten our existence.",5.6,"104,827"
1917,2019,R,119 min,"Action, Drama, War            ","April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",8.2,"586,820"
Nazar Andaaz,I 2022,U,103 min,Comedy            ,"Sudhir, blind by birth, lives alone with his housemaid Bhavani. While Bhavani is out, he takes in Ali to help around the house. Both Bhavani and Ali grow envious of each other. Nazar Andaaz is a comedic yet heartfelt story of these three.",7.4,569
Love Today,2022,UA,154 min,"Comedy, Drama, Romance            ","Two young lovers, who are made to exchange their phones for a day and what happens due to that.",8.3,"8,049"
College Romance,2018–,16+,30 min,"Comedy, Drama, Romance            ","Three best friends look for love, laughs and some lifelong memories while attending college together.",8.4,"27,235"
Monica O My Darling,2022,UA 16+,129 min,"Comedy, Crime, Drama            ","A slick robotics expert joins a murderous plot after a passionate affair takes a sudden turn, but nothing not even death , is what it seems to be.",7.5,"11,758"
Ready Player One,2018,UA,140 min,"Action, Adventure, Sci-Fi            ","When the creator of a virtual reality called the OASIS dies, he makes a posthumous challenge to all OASIS users to find his Easter Egg, which will give the finder his fortune and control of his world.",7.4,"437,034"
Mirzapur,2018–,18,60 min,"Action, Crime, Drama            ",A shocking incident at a wedding procession ignites a series of events entangling the lives of two families in the lawless city of Mirzapur.,8.5,"72,696"
Salaam Venky,2022,U,137 min,Drama            ,"Sujata, an ideal mother, who battled the most challenging situations one can ever face with a smile.",8.0,291
Blurr,2022,A,127 min,"Drama, Thriller            ",The story of a woman who's slowly losing her sight whilst trying to investigate the death of her twin sister.,4.8,636
Ponniyin Selvan: I,2022,UA,167 min,"Action, Drama, Family            ","Vandiyathevan sets out to cross the Chola land to deliver a message from the Crown Prince Aditha Karikalan. Kundavai attempts to establish political peace as vassals and petty chieftains plot against the throne. Unrest grips the land as a long-tailed comet arrives, signalling a time of turmoil.",7.9,"29,437"
Yashoda,2022,UA,135 min,"Action, Sci-Fi, Thriller            ","In a highly regimented facility housing surrogate mothers, a pregnant woman discovers that things are not as they seem.",7.7,"6,960"
DAMaN,2022,UA,121 min,"Adventure, Biography, Drama            ","The film is set in 2015. Sid, is a young doctor who completed his MBBS has been posted to the cut-off area of Malkangiri district Odisha having 151 villages & infamous for Naxals dominance & no basic facilities. It's a real life tale of perseverance & dedication.",9.3,"11,852"
Dhokha: Round D Corner,2022,A,122 min,"Crime, Thriller            ","When a housewife with a personality disorder is taken hostage by a terrorist on the loose and a husband accused of cheating on his wife, have their own versions of reality, how do we know ...                See full summary »",6.8,"10,202"
Godfather,2022,UA,157 min,"Action, Crime, Drama            ","After the death of a political leader, a mysterious man steps in to ascend the throne.",5.4,"6,430"
The Help,2011,UA,146 min,Drama            ,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",8.1,"460,166"
Ram Setu,2022,UA,140 min,"Action, Adventure            ",An atheist archaeologist turned believer must race against time to prove the true existence of the legendary Ram Setu before evil forces destroy the pillar of India's heritage.,5.2,"11,218"
Raksha Bandhan,2022,U,108 min,"Comedy, Drama, Family            ","Lala Kedarnath, the eldest and only brother of 4 sisters, runs a chaat shop that was started by his father. Lala promises his frail mother on her deathbed that he will get married only ...                See full summary »",5.1,"24,865"
The Happening,2008,UA,91 min,"Adventure, Drama, Sci-Fi            ","A science teacher, his wife, and a young girl struggle to survive a plague that causes those infected to commit suicide.",5.0,"208,391"
3 Idiots,2009,UA,170 min,"Comedy, Drama            ","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",8.4,"400,751"
HIT: The 2nd Case,2022,A,150 min,"Action, Crime, Drama            ","Krishna Dev aka KD, a laid back cop, works in AP HIT, has to take up a gruesome murder case. As KD unravels the layers of the crime, the stakes rise unbelievably high and the threat comes unusually close.",7.7,"1,779"
Drishyam,2015,UA,163 min,"Crime, Drama, Mystery            ","Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",8.2,"84,228"
Tanaav,2022–,UA 16+,30 min,"Action, Crime, Drama            ",A special force is sent to Kashmir to keep terrorism under control. Team leader kills the leader of the terrorists.Later it was found that the terrorist leader was still alive and was planning something big to upset the peace in Kashmir.,8.5,"3,008"
Bridge of Spies,2015,UA,142 min,"Drama, History, Thriller            ","During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers.",7.6,"312,455"
Mukhbir - The Story of a Spy,2022–,UA,40 min,"Drama, Mystery, Thriller            ","After the Sino-India war, a highly trained Indian spy enters Pakistan on a mission to gather crucial intelligence and stop Pakistan from launching an attack against India. Will he succeed?",7.8,"1,411"
Monster,III 2022,UA,135 min,"Action, Adventure, Crime            ","On their first wedding anniversary, Lucky Singh, an entrepreneur from Punjab walks into the lives of Anil Chandra and Bhamini. Little do they know that this man will change their future",4.6,"2,366"
Vikram Vedha,2022,UA,160 min,"Action, Crime, Drama            ",A tough police officer sets out to track down and kill an equally tough gangster.,7.1,"16,656"
Flames,2018–,Not Rated,20 min,"Comedy, Drama, Romance            ",A teenage romance from The Timeliners that aims straight from the heart. This web-series is the story of a young romance unfolding as a chemical reaction.,8.9,"30,437"
Ghost in the Shell,2017,U,107 min,"Action, Crime, Drama            ","In the near future, Major Mira Killian is the first of her kind: A human saved from a terrible crash, who is cyber-enhanced to be a perfect soldier devoted to stopping the world's most dangerous criminals.",6.3,"216,308"
The Turning,2020,18,94 min,"Drama, Horror, Mystery            ","A young governess is hired to look after an orphaned girl, but the return of the girl's problematic brother uncovers secrets from their past. A modern take on Henry James' novella ""The Turn of the Screw.""",3.9,"14,748"
Breathe: Into the Shadows,2020–,16,46 min,"Drama, Thriller            ","""A father's love can save a life... or take one,"" sets the tone for a dark and gritty series.",7.6,"17,362"
Tumbbad,2018,A,104 min,"Drama, Fantasy, Horror            ",A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.,8.2,"49,760"
Finch,2021,UA 13+,115 min,"Adventure, Drama, Sci-Fi            ","On a post-apocalyptic Earth, a robot, built to protect the life of his creator's beloved dog learns about life, love, friendship and what it means to be human.",6.9,"83,221"
Dredd,2012,A,95 min,"Action, Crime, Sci-Fi            ","In a violent, futuristic city where the police have the authority to act as judge, jury and executioner, a cop teams with a trainee to take down a gang that deals the reality-altering drug, SLO-MO.",7.1,"277,176"
Kumari,2022,UA,137 min,"Horror, Thriller            ","The world of Kumari, who is married off far away in Kanhirangat, a cursed land beyond Illymala, in the west. A naive Kumari arrives in the cursed land, where people are ready to sacrifice their lives to preserve tradition and power.",6.5,"1,345"
Life of Pi,2012,U,127 min,"Adventure, Drama, Fantasy            ","A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.",7.9,"631,341"
Lincoln,2012,U,150 min,"Biography, Drama, History            ","As the American Civil War continues to rage, America's president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves.",7.3,"261,749"
Liger,2022,UA,140 min,"Action, Drama, Romance            ","A story about martial arts, dreams and star crossed lovers. Liger is an MMA fighter who trains hard and rises up the ranks with one goal in mind, to fight like his idol, world renowned MMA fighter Mark Anderson and get noticed by him.",3.0,"46,076"
Mismatched,2020–,15+,30 min,"Comedy, Drama, Romance            ",The movie will be a romantic film featuring two people who are not right for each other. The story is about Prajakta's character who is a tech wizard and the guy who is interested in her.,5.8,"5,306"
Nitham Oru Vaanam,2022,U,146 min,Drama            ,A young man who has OCD happens to read two real stories and goes in search of the endings. He meets Shubha on the way and begins to travel with her.,7.5,564
HIT: The First Case,2022,UA,132 min,"Action, Crime, Drama            ","Vikram is a 32-year-old cop. While he is battling with his own traumatic past, the stakes get high when a girl called Preethi mysteriously disappears in Hyderabad and Vikram has to solve the case at any cost.",6.8,"13,994"
Hit,2020,UA,125 min,"Action, Crime, Drama            ",An officer of the 'Homicide Intervention Team' who frequently suffers from having his panic attacks does everything in his power to rescue a woman who went missing.,7.6,"6,196"
The Girl on the Train,2016,A,112 min,"Crime, Drama, Mystery            ",A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life.,6.5,"188,476"
Lion,2016,U,118 min,"Biography, Drama            ","A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.",8.0,"237,358"
Uunchai,2022,U,173 min,"Adventure, Drama            ","Three friends take a trek to the Everest Base Camp. A simple trek turns out to be a personal, emotional and spiritual journey as they battle their physical limitations and discover the true meaning of freedom.",7.8,"3,575"
Kooman,2022,UA,153 min,"Drama, Mystery, Thriller            ",The story is about a strict police officer who relocates to a hilly village on the Kerala-Tamil Nadu border. Few normal incidents that take place suddenly appear to be abnormal.,7.5,"1,600"
Doctor G,2022,A,124 min,"Comedy, Drama            ","Uday Gupta finds himself as the lone male student in the Gynaecology department. His reluctance leads to chaos, confusion, comedy and eventually, great camaraderie with his fellow classmates.",7.1,"8,014"
Rorschach,2022,UA,150 min,"Action, Mystery, Thriller            ",The Movie is about Luke Anthony who has a mysterious past and is out on a mission to seek revenge from someone who has destroyed him deeply,7.1,"4,146"
Four More Shots Please!,2019–2022,18+,60 min,"Comedy, Drama, Romance            ","Four female friends from different walks of life deal with romance, work-life conflicts, ambitions and anxieties in modern-day India.",7.4,"43,218"
Karthikeya 2,2022,UA,150 min,"Action, Adventure, Fantasy            ","A sequel to mystic thriller Karthikeya (2014), which deals with the personal problems of Karthik and how he comes out of them. His pursuit of the truth leads him to find out the power of Indian ancient system and Tatva of Lord Sri Krishna.",7.9,"61,190"
Laal Singh Chaddha,2022,UA,159 min,"Comedy, Drama, Romance            ","Laal Singh Chaddha, a simple man whose extraordinary journey will fill you with love, warmth, happiness and will also make you laugh.",5.5,"172,593"
The Family Man,2019–,16+,45 min,"Action, Comedy, Drama            ","A working man from the National Investigation Agency tries to protect the nation from terrorism, but he also needs to keep his family safe from his secret job.",8.7,"87,834"
The Legend of Hanuman,2021–,PG,25 min,Animation            ,"When the power-hungry Ravan tore through the world to unleash evil, in his way stood a humble vaanar awoken to his divinity to become an immortal legend.",9.2,"9,083"
Thank God,2022,UA,121 min,"Comedy, Fantasy            ","An egoistic real estate broker in huge debts, meets with an accident.God appears in front of him and informs him that he will have to play a ""GAME OF LIFE"". If he win, he will be sent back to earth and if not, he will be sent to hell.",6.1,"7,459"
K.G.F: Chapter 2,2022,UA,168 min,"Action, Crime, Drama            ","In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes. While his allies look up to him, the government sees him as a threat to law and order. Rocky must battle threats from all sides for unchallenged supremacy.",8.4,"132,489"
I Am Number Four,2011,UA,111 min,"Action, Adventure, Sci-Fi            ","Aliens and their Guardians are hiding on Earth from intergalactic bounty hunters. They can only be killed in numerical order, and Number Four is next on the list. This is his story.",6.1,"239,049"
The Bourne Supremacy,2004,A,108 min,"Action, Mystery, Thriller            ","When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.",7.7,"465,243"
The Fall,I 2006,R,117 min,"Adventure, Drama, Fantasy            ","In a hospital on the outskirts of 1920s Los Angeles, an injured stuntman begins to tell a fellow patient, a little girl with a broken arm, a fantastic story of five mythical heroes. Thanks to his fractured state of mind and her vivid imagination, the line between fiction and reality blurs as the tale advances.",7.8,"113,008"
Scam 1992: The Harshad Mehta Story,2020,18,54 min,"Biography, Crime, Drama            ","Set in 1980s and '90s Bombay, it follows the life of Harshad Mehta, a stockbroker who took the stock market to dizzying heights and his catastrophic downfall.",9.3,"144,453"
Padavettu,2022,UA 16+,145 min,"Action, Drama, Thriller            ","The coming of age drama portray the relentless pursuit of the layman, the oppressed section of society who is in a constant struggle and fight to reclaim their unique identity and rightful place in a world meant for all.",7.8,"2,395"
The Foreigner,I 2017,A,113 min,"Action, Thriller            ","A humble businessman with a buried past seeks justice when his daughter is killed in an act of terrorism. A cat-and-mouse conflict ensues with a government official, whose past may hold clues to the killers' identities.",7.0,"115,839"
Drishyam 2,2021,13,152 min,"Crime, Drama, Thriller            ",A gripping tale of an investigation and a family which is threatened by it. Will Georgekutty be able to protect his family this time?,8.4,"37,621"
Real Steel,2011,UA,127 min,"Action, Drama, Sci-Fi            ","In the near future, robot boxing is a top sport. A struggling ex-boxer feels he's found a champion in a discarded robot.",7.0,"331,227"
The Trial of the Chicago 7,2020,18,129 min,"Drama, History, Thriller            ","The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois.",7.7,"178,016"
The BFG,2016,UA,117 min,"Adventure, Family, Fantasy            ","An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world.",6.3,"86,975"
War Horse,2011,U,146 min,"Action, Adventure, Drama            ",Young Albert enlists to serve in World War I after his beloved horse is sold to the cavalry. Albert's hopeful journey takes him out of England and to the front lines as the war rages on.,7.2,"158,708"
Cirkus,2022,UA,112 min,"Comedy, Drama            ","In ancient India, an adventurous and daring man becomes involved in a decades-old feud between two warring peoples.",8.0,"125,994"
Bãhubali: The Beginning,2015,UA,159 min,"Action, Drama            ",Indian Telugu film directed by K. Venkatesh.,8.3,384
Tapana,2022,A,96 min,Romance            ,"A comedy-drama, which captures the journey of an engineering graduate Abhishek, who for lack of a better job option joins as secretary of a Panchayat office in a remote village of Uttar Pradesh.",8.9,"71,059"
Panchayat,2020–,16,35 min,"Comedy, Drama            ","As they shape their future and evolve as individuals, immerse themselves in an upcoming inter school fest and prepare for their 10th board exams.",8.3,"2,057"
Crushed,2022–,UA 13+,27 min,"Comedy, Drama, Romance            ",The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.,8.1,"232,558"
Gandhi,1982,U,191 min,"Biography, Drama, History            ",Zakir talks about his experience of growing up with his grand-father and the influence he had on his life.,9.3,"1,631"
Zakir Khan: Tathastu,2022 TV Special,null,94 min,Comedy            ,"An exalted but short-fused surgeon plunges into a spiral of drugs, alcohol and rage after his intense relationship with his girlfriend turbulently ends.",7.0,"34,025"
Kabir Singh,2019,A,173 min,"Action, Drama, Romance            ",A vengeful barbarian warrior sets off to get his revenge on the evil warlord who attacked his village and murdered his father when he was a boy.,5.1,"99,787"
Conan the Barbarian,2011,A,113 min,"Action, Adventure, Fantasy            ","Fresh from prison, a street racer who was framed by a wealthy business associate joins a cross-country race with revenge in mind. His ex-partner, learning of the plan, places a massive bounty on his head as the race begins.",6.4,"172,087"
Need for Speed,2014,UA,132 min,"Action, Thriller            ","A year after their father's funeral, three brothers travel across India by train in an attempt to bond with each other.",7.2,"201,379"
The Darjeeling Limited,2007,R,91 min,"Adventure, Comedy, Drama            ","A ghost reaches out to two bumbling ghostbusters for a business idea. However, their plans go downhill as the eerie ghost reveals her plan.",7.0,"7,373"
Phone Bhoot,2022,UA,136 min,"Comedy, Horror            ","Arnav, a wealthy business tycoon, decides to ruin Khushi's reputation after he thinks she sabotaged one of his events. Meanwhile, Khushi quietly suffers for the crimes she didn't commit.",7.5,"3,547"
Iss Pyaar Ko Kya Naam Doon,2011–2018,PG,22 min,"Drama, Romance            ",A police official starts a wild goose chase to find a murderer. The journey unfolds deep dark secrets from the past which leads to a spine chilling face off in the finale,9.8,"4,387"
Maarrich,2022,UA,126 min,"Crime, Mystery, Thriller            ","A link in their pasts leads an honest cop to a fugitive gang boss, whose cryptic warning spurs the officer on a quest to save Mumbai from cataclysm.",8.5,"88,243"
Sacred Games,2018–2019,A,50 min,"Action, Crime, Drama            ","Dedicated to Shrimati SL Loney ji, Shri Irodov ji and Maanniya HC Verma ji, 'Kota Factory' is TVF's latest original. India's first 'Black and White' show highlights the problems present day IIT-JEE aspirants face in their day-to-day lives.",9.1,"72,396"
Kota Factory,2019–2021,16,45 min,"Comedy, Drama            ","Samay fights heaven and earth to find light. He wants to catch, control, cut and project that light to tell stories. Now to pursue that dream he must leave everything he loves and take a flight to find the light.",7.7,"3,137"
Chhello Show,2021,U,110 min,Drama            ,"A spaceship arrives in Arizona, 1873, to take over the Earth, starting with the Wild West region. A posse of cowboys and natives are all that stand in their way.",6.0,"222,604"
Cowboys & Aliens,2011,13,119 min,"Action, Sci-Fi, Thriller            ",Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towards it.,8.9,"31,106"